,rank,name,team,POS,G,GS,IP,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%
0,1,김하성,넥센,유격수,140,139,1209 1/3,21,0,212,408,87,0.967,0,0,0,-
1,2,박병호,넥센,1루수,131,131,1124 1/3,12,0,1113,93,103,0.990,0,0,0,-
2,3,박동원,넥센,포수,126,122,1012,10,6,858,96,10,0.990,9,75,32,29.9
3,4,유한준,넥센,우익수,81,68,570 2/3,2,0,126,0,0,0.984,0,0,0,-
4,4,이택근,넥센,중견수,81,72,621 2/3,0,0,128,3,0,1.000,0,0,0,-
5,6,서건창,넥센,2루수,72,67,566,11,0,148,174,49,0.967,0,0,0,-
6,6,윤석민,넥센,3루수,72,64,560 1/3,11,0,49,110,17,0.935,0,0,0,-
7,8,유한준,넥센,중견수,70,61,530,0,0,122,4,0,1.000,0,0,0,-
8,8,조상우,넥센,투수,70,0,93 1/3,2,1,2,10,1,0.857,0,0,0,-
9,10,김민성,넥센,3루수,69,62,547 2/3,4,0,57,111,11,0.977,0,0,0,-
10,11,김지수,넥센,2루수,67,24,273 2/3,1,0,62,84,25,0.993,0,0,0,-
11,12,고종욱,넥센,좌익수,66,57,481 2/3,3,0,104,1,0,0.972,0,0,0,-
12,13,스나이더,넥센,우익수,60,53,470 1/3,1,0,81,3,2,0.988,0,0,0,-
13,14,김재현,넥센,포수,58,15,204 2/3,2,1,153,15,1,0.988,1,21,7,25.0
14,14,손승락,넥센,투수,58,0,61 1/3,1,0,5,16,0,0.955,0,0,0,-
15,16,김영민,넥센,투수,57,4,90 1/3,1,0,1,12,1,0.929,0,0,0,-
16,17,박헌도,넥센,좌익수,54,37,340 2/3,0,0,58,0,0,1.000,0,0,0,-
17,18,스나이더,넥센,좌익수,50,39,356 2/3,1,0,73,2,0,0.987,0,0,0,-
18,19,김대우,넥센,투수,47,1,71,0,0,6,5,0,1.000,0,0,0,-
19,20,한현희,넥센,투수,45,17,123 1/3,2,1,8,16,0,0.923,0,0,0,-
20,21,김택형,넥센,투수,37,10,58,1,0,5,8,0,0.929,0,0,0,-
21,22,김민성,넥센,2루수,36,32,250,1,0,68,98,25,0.994,0,0,0,-
22,23,마정길,넥센,투수,35,0,37 1/3,0,0,2,2,1,1.000,0,0,0,-
23,24,문성현,넥센,투수,34,13,91 2/3,0,0,8,6,0,1.000,0,0,0,-
24,25,서동욱,넥센,2루수,33,16,163 1/3,2,0,41,56,14,0.980,0,0,0,-
25,26,밴헤켄,넥센,투수,32,32,196 2/3,3,1,11,23,0,0.919,0,0,0,-
26,27,피어밴드,넥센,투수,30,30,177 1/3,4,13,1,44,1,0.918,0,0,0,-
27,28,문우람,넥센,우익수,26,12,147,0,0,28,2,0,1.000,0,0,0,-
28,29,이상민,넥센,투수,23,0,19 1/3,0,0,0,4,0,1.000,0,0,0,-
29,30,김동준,넥센,투수,22,5,50 1/3,1,1,4,8,0,0.923,0,0,0,-
30,30,김지수,넥센,3루수,22,5,72 2/3,0,0,1,15,3,1.000,0,0,0,-
31,32,송신영,넥센,투수,18,16,69,0,0,3,8,1,1.000,0,0,0,-
32,32,하영민,넥센,투수,18,2,34 2/3,0,0,2,8,1,1.000,0,0,0,-
33,34,문우람,넥센,좌익수,17,5,65 1/3,0,0,12,2,0,1.000,0,0,0,-
34,34,박헌도,넥센,우익수,17,7,75,0,0,14,0,0,1.000,0,0,0,-
35,34,유선정,넥센,포수,17,7,69 1/3,1,0,68,3,1,0.986,0,15,2,11.8
36,37,김지수,넥센,유격수,16,2,53 2/3,1,0,7,23,3,0.968,0,0,0,-
37,37,양훈,넥센,투수,16,3,38 1/3,0,0,1,5,1,1.000,0,0,0,-
38,39,유재신,넥센,1루수,14,0,22 2/3,1,0,24,2,4,0.963,0,0,0,-
39,40,김정훈,넥센,투수,13,1,15 1/3,1,0,2,1,0,0.750,0,0,0,-
40,40,서동욱,넥센,1루수,13,6,63,0,0,62,3,6,1.000,0,0,0,-
41,40,유재신,넥센,중견수,13,4,40,0,0,10,0,0,1.000,0,0,0,-
42,43,장시윤,넥센,3루수,12,10,64 1/3,1,0,3,17,1,0.952,0,0,0,-
43,44,문우람,넥센,중견수,10,5,55 1/3,1,0,7,0,0,0.875,0,0,0,-
44,45,오재영,넥센,투수,9,4,18 1/3,0,0,1,2,0,1.000,0,0,0,-
45,46,윤석민,넥센,1루수,8,7,61,1,0,52,5,4,0.983,0,0,0,-
46,47,금민철,넥센,투수,7,5,22,0,0,3,2,0,1.000,0,0,0,-
47,47,배힘찬,넥센,투수,7,0,6 2/3,0,0,1,0,0,1.000,0,0,0,-
48,47,임병욱,넥센,1루수,7,0,15,0,0,11,0,2,1.000,0,0,0,-
49,50,장영석,넥센,3루수,6,1,22,1,0,1,9,1,0.909,0,0,0,-
50,51,송성문,넥센,2루수,5,5,27,2,0,7,8,2,0.882,0,0,0,-
51,52,강지광,넥센,좌익수,4,3,23,1,0,5,0,0,0.833,0,0,0,-
52,52,스나이더,넥센,중견수,4,1,12,0,0,4,0,0,1.000,0,0,0,-
53,52,유재신,넥센,좌익수,4,0,6 2/3,0,0,0,0,0,-,0,0,0,-
54,52,임병욱,넥센,우익수,4,1,15,0,0,2,0,0,1.000,0,0,0,-
55,56,구자형,넥센,투수,3,0,2 2/3,0,0,0,1,0,1.000,0,0,0,-
56,56,박헌도,넥센,중견수,3,1,11,0,0,2,0,0,1.000,0,0,0,-
57,56,서동욱,넥센,3루수,3,1,10,0,0,0,0,0,-,0,0,0,-
58,56,임병욱,넥센,중견수,3,0,8,0,0,2,0,0,1.000,0,0,0,-
59,56,장시윤,넥센,유격수,3,2,19,1,0,4,7,0,0.917,0,0,0,-
60,61,김상수,넥센,투수,2,1,5,0,0,0,2,0,1.000,0,0,0,-
61,61,이정훈,넥센,투수,2,0,2,0,0,0,0,0,-,0,0,0,-
62,61,임병욱,넥센,좌익수,2,2,11,0,0,3,0,0,1.000,0,0,0,-
63,61,장시윤,넥센,2루수,2,0,4,0,0,1,3,1,1.000,0,0,0,-
64,65,강지광,넥센,우익수,1,0,1,0,0,0,0,0,-,0,0,0,-
65,65,고종욱,넥센,중견수,1,0,2,0,0,2,0,0,1.000,0,0,0,-
66,65,김민준,넥센,중견수,1,0,6,0,0,0,0,0,-,0,0,0,-
67,65,김정인,넥센,투수,1,0,1,0,0,0,0,0,-,0,0,0,-
68,65,박병호,넥센,3루수,1,1,8,0,0,1,0,0,1.000,0,0,0,-
69,65,서동욱,넥센,우익수,1,0,1,0,0,0,0,0,-,0,0,0,-
70,65,유재신,넥센,2루수,1,0,2,0,0,2,0,0,1.000,0,0,0,-
71,65,유재신,넥센,3루수,1,0,1,0,0,0,0,0,-,0,0,0,-
72,65,윤석민,넥센,유격수,1,1,4,1,0,1,0,0,0.500,0,0,0,-
73,65,정회찬,넥센,투수,1,0,1,0,0,0,0,0,-,0,0,0,-
74,65,허정협,넥센,우익수,1,1,6,0,0,3,0,0,1.000,0,0,0,-
75,65,홍성갑,넥센,좌익수,1,0,1,0,0,0,0,0,-,0,0,0,-
